year,sector,share_percent
2012,Manufacturing,38.347787934605876
2012,Professional Services,16.380092947699477
2012,Tourism (estimate),22.67447767273796
2013,Construction,12.307248199255808
2013,ICT & Communication,9.303009991699282
2013,Manufacturing,38.97538995893216
2013,Professional Services,16.582496151948373
2013,Tourism (estimate),22.83185569816438
2014,Construction,11.255114995518918
2014,ICT & Communication,9.097942333458937
2014,Manufacturing,39.583964449917644
2014,Professional Services,16.729665524212297
2014,Tourism (estimate),23.333312696892197
2015,Construction,10.802846606937836
2015,ICT & Communication,9.013824117694565
2015,Manufacturing,40.376387456213756
2015,Professional Services,16.57777579961995
2015,Tourism (estimate),23.22916601953389
2016,Construction,10.52701020539047
2016,ICT & Communication,9.193335547989115
2016,Manufacturing,40.81225659662063
2016,Professional Services,16.21548891334272
2016,Tourism (estimate),23.251908736657075
2017,Construction,10.35587984084967
2017,ICT & Communication,9.148453023620057
2017,Manufacturing,40.86642301105803
2017,Professional Services,16.10137471382724
2017,Tourism (estimate),23.527869410644993
2018,Construction,10.27049164663934
2018,ICT & Communication,8.936709236005159
2018,Manufacturing,40.98678675335481
2018,Professional Services,16.30116978343989
2018,Tourism (estimate),23.504842580560805
2019,Construction,10.576672852906734
2019,ICT & Communication,8.872394490691779
2019,Manufacturing,40.82360496536259
2019,Professional Services,15.827726136097933
2019,Tourism (estimate),23.899601554940954
2020,Construction,11.19611991725759
2020,ICT & Communication,9.628120999750543
2020,Manufacturing,41.03681289062807
2020,Professional Services,17.884489060389974
2020,Tourism (estimate),20.254457131973826
2021,Construction,12.47413842063842
2021,ICT & Communication,9.018209110161393
2021,Manufacturing,41.386830459653964
2021,Professional Services,16.518226104521972
2021,Tourism (estimate),20.602595905024256
2022,Construction,13.417934428000969
2022,ICT & Communication,8.133979800098071
2022,Manufacturing,40.36437077562642
2022,Professional Services,16.25411732247062
2022,Tourism (estimate),21.829597673803914
2023,Construction,13.989881686179078
2023,ICT & Communication,7.818651261913928
2023,Manufacturing,39.73970666832358
2023,Professional Services,16.621402511667196
2023,Tourism (estimate),21.83035787191621
2024,Construction,13.164424130685829
2024,ICT & Communication,8.106666167646328
2024,Manufacturing,39.439008679629225
2024,Professional Services,16.732850980779197
2024,Tourism (estimate),22.557050041259423
